HANDLE,COLUMN
come-to-the-new-site,"Hi, I'm Chris, and I want to welcome you to our new site!  We're really excited to launch, and we're hoping you're excited to check it out.



So what's new?



We've had two different sites for a while now, namely shinodadesigncenter.net and shinodasales.com.  We really wanted to put everything together for our customers, so that they could find information AND products all in the same place.  Now you can browse some of our selection (and our online catalog is growing steadily) while also reading new informational posts and seeing pictures from our shows or around the store.  We have a lot more planned for the new site, but that'll be a surprise for you when we debut it :)



What's still the same?



We're still <strong>wholesale only</strong>, business-to-business.  That's very important to us.  To see pricing information and availability, you'll have to be a member.  To become a member of the new site, you have to be an existing member of one of our Shinoda Design Center stores, or you'll need to become a member (which you can find more about on our <a href=""http://shinodasales.com/faq"">FAQ</a>).  While the new site might look a bit like some other retail sites you may have seen or used, we are still dedicated to our business customers and will only be serving them.



I can't say enough how excited we are about the new site.  It marks a new chapter in the long history of Shinoda Design Center.  So take a look around.  For now, treat the new site like a catalog of both products and information.  If you have questions about something you see here, you can <a href=""http://shinodasales.com/contact"">contact</a> us via e-mail, or call your local store.



You'll be hearing more from me, James, Catherine, Stacey, and some of the other Shinoda employees as the site grows up.  We hope to hear plenty from you as well.



Chris"
shinoda-design-center-tour,"Here's some pictures from around the Santa Ana store we took recently.  The store tour was one of the most popular features on the old site.  I think that speaks to how much fun it is to wander through our stores.  So here's a virtual walk through the place.  Enjoy!



Chris



[nggallery id=7] "
shinoda-design-center-americana-coupon,"Memorial Day is swiftly approaching, and it's bringing the unofficial start of summer with it (who wants to wait until the middle of June?).  But it's not just a holiday to mark the beginning of summer.  Memorial Day started as a holiday called ""Decoration Day"" in the middle 1800s.  It was a day set aside to decorate the graves of fallen US soldiers and pay tribute to the sacrifices they had made.  After World War II, it became more commonly known as Memorial Day, and in 1968 it was officially moved to the last Monday in May, making it a Federal holiday.  At the same time, Memorial Day is a festive and solemn occasion, which I think makes it a very interesting and important day.



About one month after Memorial Day comes the Fourth of July, a summer celebration of the declaration of US independence from England.  So there's definitely a lot of patriotism and Americana in the air for the next couple months.  That's why we're having a sale on Americana at Shinoda's!

<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-Americana-Red-White-Blue.jpg""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-Americana-Red-White-Blue-1024x682.jpg"" alt=""Shinoda Design Center Americana Red White Blue"" title=""Shinoda Design Center Americana Red White Blue"" width=""640"" height=""426"" class=""aligncenter size-large wp-image-412"" /></a>



Your clients and customers will be in a patriotic mood this summer, so bring this coupon in between 5/16/2011 and 5/21/2011 for 25% off the each price of any of our Americana items to stock up.  For an item to qualify, it must have all 3 colors, red, white and blue, just like the images in Tom's picture up there, and unfortunately, ribbon is not included in the sale.  Don't forget to print out the coupon, and I hope to see you around the store.



-Chris



[caption id=""attachment_410"" align=""alignleft"" width=""792"" caption=""Don&#039;t forget to print me out!""]<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-25-off-Americana-Red-White-Blue.pdf""><img src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2011/05/Shinoda-Design-Center-25-off-Americana-Red-White-Blue.jpg"" alt=""Shinoda Design Center 25 off Americana Red White Blue"" title=""Shinoda Design Center 25 off Americana Red White Blue"" width=""792"" height=""684"" class=""size-full wp-image-410"" /></a>[/caption] "
shinoda-design-center-in-store-coupo-for-5911-51411,"Check out this week's in-store coupon for Printed Wrapping Paper.  We have a big selection of wrapping paper, some of which you can see here (captured here by our photographer, Tom).



<a href=""/images/Printed-Wrapping-Paper-Shinoda-Design-Center.jpg""><img alt=""Printed Wrapping Paper"" src=""/images/Printed-Wrapping-Paper-Shinoda-Design-Center.jpg"" title=""Printed Wrapping Paper"" class=""aligncenter"" width=""700"" height=""500"" /></a>



To get 25% off what you see there and a lot more, click on our coupon below to see a printable version of the coupon.  Remember, the coupon is only good until 5/14/11 (that's Saturday), and you need to bring in the coupon for us to give you the discount.  Happy Shopping!



<a href=""/images/Printed-Wrapping-Paper-Shinoda-Design-Center-Coupon.pdf""><img alt=""Printed Wrapping Paper Coupon"" src=""/images/Printed-Wrapping-Paper-Shinoda-Design-Center-Coupon.jpg"" title=""Printed Wrapping Paper Coupon"" class=""aligncenter"" width=""600"" height=""475"" /></a>"
2012-san-diego-county-fair-design-competition,
in-store-appreciation-coupon-25-off-one-single-item,"<strong>Shop Now For The Perfect Silk Flower Stems For Your Upcoming Events!
</strong>

New sales coupon for you to use in-store. Make sure you print it out and bring it in to use. To print, click on the coupon and a printable version will load. We will only accept printed coupons. Coupons presented via cellphone, tablet, or any other means will not be accepted.

<a href=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2013/06/Sale-Coupon-25%-Off-One-Single-Item-Appreciation-Coupon-061013.jpg""><img class=""aligncenter size-medium wp-image-5261"" title=""Sale Coupon 25% Off One Single Item Appreciation Coupon 061013"" src=""http://www.shinodadesigncenter.net/wordpress/wp-content/uploads/2013/06/Sale-Coupon-25%-Off-One-Single-Item-Appreciation-Coupon-061013-300x259.jpg"" alt="""" width=""300"" height=""259"" /></a>"
shinoda-design-center-2009-christmas-design-show,"Here are some pictures taken at our 2009 Christmas Design Show hosted at our Santa Ana warehouse.  Featured designers were Diane Citrowske, AIFD and Del Langdale.  Besides creating Christmas arrangements, they also used Halloween, Thanksgiving, and Fall themes.  The arrangements are a mix of fresh and silk flowers.  There is a mixture of individual arrangements and whole table vignettes.  Enjoy!



&nbsp;



[nggallery id=8] "
santa-ana-spring-endcaps-2009,"Take a tour of our 2010 endcaps and get filled with ideas.  On display are many different color schemes and themes to provide inspiration for your creative visions.  We have simple garden themes and tropical landscapes filled with orchids, hydrangeas, roses, peonies, and daisies.  The displays also include an example of a Fourth of July theme and a candy table complete with jars of candy.



[nggallery id=9] "
santa-ana-spring-design-show-2010,"Miss the Santa Ana Spring Design Show 2010?  Take a look at the pictures from the show featuring Noel Tribbey, AIFD and Del Langdale.  They created a number of pieces featuring Spring and Easter themes.  The crowd was pretty packed in and the design work was creative and innovative.  Take a look around and let us know if you like what you see!



[nggallery id=10] "
san-diego-christmas-endcaps-2010,"When we rework our endcaps for Christmas, the whole warehouse gets decked out in bling with glitter and sparkly ornaments popping up everywhere.  Christmas display work can easily bring out the latest in color trends and very creative themes for decorative use.  We have an Asian Christmas, woodland, crystal, traditional, and candy colored themes for you to look at.  Mix in our Halloween, Fall, and Thanksgiving themes and there is a lot to see.



[nggallery id=11] "
