Order ID,Product_Qty,Product_SKU,Product_Name,Product_Weight,Product_Variation_Details,Product_Unit_Price,Product_Total_Price
633766,1,1SUB-GRACOZY-US,Bella Grace + Cozy Subscription,0,Shipping Destination,87.95,87.95
633766,1,1BOL-25,Bella Grace Book of Lists Volume 3 – Coming January 1st,0.5,,18.99,18.99
633768,1,1RSVP-QUI,Art Quilting Studio Subscription,0,Would you like to add? Art Quilting Studio Winter 2025 (December Issue),73.92,73.92
633769,1,1WIL-1902,Willow and Sage Spring 2019,0.5,,5.99,5.99
633769,1,1WIL-2304PDF,Willow and Sage  Autumn 2023 Instant Download,0.5,,13.99,13.99
633770,1,1RSVP-GARDEN-US,In Her Garden Subscription,0,Would you like to add? In Her Garden Winter 2025 (December Issue),78.92,78.92
633771,1,1SUB-SOM-INT,Somerset Studio Subscription,0,Subscription Term (Required),73.97,73.97
633772,1,1SUB-GRA,Bella Grace Subscription,0,Subscription Term (Required),69.95,69.95
633773,1,1GRA-COZY24PDF,The Cozy Issue Volume 7 Instant Download,0.5,,14.99,14.99
633774,1,1RSVP-GARDEN-US,In Her Garden Subscription,0,Would you like to add? In Her Garden Winter 2025 (December Issue),78.92,78.92
633775,1,1RSVP-QUI-INT,Art Quilting Studio Subscription,0,Subscription Term (Required),69.97,69.97
633775,1,1QUI-2401,Art Quilting Studio Winter 2024,0.5,,15.99,15.99
633775,1,1QUI-2402,Art Quilting Studio Spring 2024,0.5,,15.99,15.99
633775,1,1QUI-2403,Art Quilting Studio Summer 2024,0.5,,15.99,15.99
633775,1,1QUI-2404,Art Quilting Studio Autumn 2024,0.5,,15.99,15.99
633775,1,1QUI-2501,Art Quilting Studio Winter 2025 – New,0.5,,15.99,15.99
633776,1,1SUB-SOM,Somerset Studio Subscription,0,Would you like to add? Somerset Studio Spring 2025 (February Issue),78.92,78.92
633777,1,1RSVP-WIL,Willow and Sage Subscription,0,Subscription Term (Required),53.97,53.97
633777,1,1RSVP-GARDEN-US,In Her Garden Subscription,0,Subscription Term,57.97,57.97
633778,1,1SUB-FIE,Field Guide to Everyday Magic Subscription,0,Would you like to add? Field Guide Issue 14 (October 2024),85.92,85.92
633778,1,1SUB-GRA,Bella Grace Subscription,0,Subscription Term (Required),69.95,69.95
633778,1,1RSVP-GARDEN-US,In Her Garden Subscription,0,Subscription Term,57.97,57.97
633779,1,1SUB-GRA-CAN,Bella Grace Subscription,0,Subscription Term (Required),85.95,85.95
633780,1,1RSVP-GARDEN-2YR,In Her Garden Subscription,0,Would you like to add? In Her Garden Winter 2025 (December Issue),136.92,136.92
633781,1,1RSVP-GARDEN-US,In Her Garden Subscription,0,Subscription Term,57.97,57.97
633782,1,1IHG-2404,In Her Garden Winter 2025 – New,0.5,,16.99,16.99
633783,1,1SUB-GRA,Bella Grace Subscription,0,Subscription Term (Required),69.95,69.95
633783,1,1GRA-COZY22,The Cozy Issue Volume 5,0.5,,18.99,18.99
633783,1,1GRA-ROM25,Bella Grace,0.5,Shipping Destination,16.99,16.99
633784,1,1SUB-GRA,Bella Grace Subscription,0,Would you like to add? Bella Grace Issue 42 (December 2024),93.9,93.9
633784,1,1GRA-2501,Bella Grace Issue 42 – New,0.5,,19.99,19.99
633784,1,1BOL-25,Bella Grace Book of Lists Volume 3 – Coming January 1st,0.5,,18.99,18.99
633785,1,1RSVP-GARDEN-US,In Her Garden Subscription,0,Would you like to add? In Her Garden Winter 2025 (December Issue),78.92,78.92
633785,1,1SER-IHG-SPR-SUM-AUT-24,In Her Garden Gift Set,3.02,,53.97,53.97
